WORD,FREQUENCY,PHONEME_LENGTH,MONOMORPHEME,ORTHO_LENGTH,LOG_FREQ,LANG
Europa,1425,6,FALSE,6,7.26192709270275,German
Vater,1406,5,TRUE,5,7.24850407237061,German
modern,1401,6,TRUE,6,7.24494154633701,German
westdeutsch,1393,9,FALSE,11,7.23921497377981,German
allgemein,1388,8,TRUE,9,7.23561914106675,German
Kopf,1377,4,TRUE,4,7.22766249872865,German
naemlich,1371,6,FALSE,8,7.22329567956231,German
Bank,1370,4,TRUE,4,7.22256601882217,German
einzig,1368,6,FALSE,6,7.2211050981825,German
daran,1361,5,FALSE,5,7.21597500265147,German
selber,1360,6,TRUE,6,7.2152399787301,German
Freiheit,1359,8,FALSE,8,7.21450441415114,German
Form,1356,4,TRUE,4,7.21229446850034,German
Maedchen,1354,6,TRUE,8,7.21081845347222,German
Raum,1338,4,TRUE,4,7.19893124068817,German
schlagen,1331,6,TRUE,8,7.19368581839511,German
erscheinen,1325,8,FALSE,10,7.18916773842032,German
handeln,1321,7,TRUE,7,7.18614430452233,German
notwendig,1310,9,TRUE,9,7.1777824161952,German
bedeuten,1305,8,FALSE,8,7.17395831975679,German
warum,1302,5,TRUE,5,7.17165682276851,German
gegenwaertig,1301,11,FALSE,12,7.1708884785125,German
zehn,1296,3,TRUE,4,7.16703787691222,German
wesentlich,1293,9,FALSE,10,7.16472037877186,German
laufen,1290,6,TRUE,6,7.16239749735572,German
Hilfe,1289,5,TRUE,5,7.16162200293919,German
Jahrhundert,1285,10,FALSE,11,7.15851399732932,German
erklaert,1282,7,TRUE,8,7.15617663748062,German
Oktober,1282,7,FALSE,7,7.15617663748062,German
Vorschlag,1281,7,TRUE,9,7.15539630189673,German
wirtschaftlich,1267,11,FALSE,14,7.14440718032114,German
Kirche,1267,5,TRUE,6,7.14440718032114,German
Stimme,1266,5,TRUE,6,7.14361760270412,German
schliessen,1264,6,TRUE,10,7.1420365747068,German
Meter,1257,5,TRUE,5,7.13648320859025,German
